kepler_id,quarter,flare_start_time,flare_end_time,flare_peak_time,energy,excluded,Teff,Radius,logg,Prot,flare_amp,flare_duration,time_start_BJD,time_end_BJD,flare_peak_BJD,Prot source
11600297,15,1468.848448,1468.909748,1468.868882,5.56E+34,FALSE,5138,0.942,4.422,NA,0.016938297,0.061299621,56301.84845,56301.90975,56301.86888,NA
11600387,9,884.449906,884.5112085,884.4703403,2.97E+34,FALSE,5751,0.916,4.491,NA,0.005806496,0.061302495,55717.44991,55717.51121,55717.47034,NA
11603214,17,1562.516303,1562.59804,1562.536737,2.53E+35,FALSE,5780,1,4.438,NA,0.029286105,0.081736566,56395.5163,56395.59804,56395.53674,NA
11603214,17,1575.737206,1575.818943,1575.757641,2.53E+35,FALSE,5780,1,4.438,NA,0.031807262,0.081736773,56408.73721,56408.81894,56408.75764,NA
11610866,17,1577.923366,1577.984668,1577.9438,2.07E+36,FALSE,5780,1,4.438,NA,0.333522989,0.061302565,56410.92337,56410.98467,56410.9438,NA
11616768,1,162.5514789,162.6127817,162.5719132,1.28E+34,FALSE,5841,0.931,4.52,23.474,0.0021,0.061302729,54995.55148,54995.61278,54995.57191,McQuillan et al.(2014)
11618063,17,1560.983273,1561.044575,1561.003707,3.59E+34,FALSE,5927,0.955,4.405,NA,0.005180141,0.061302284,56393.98327,56394.04457,56394.00371,NA
11621759,13,1231.737878,1231.799181,1231.758312,3.03E+34,FALSE,5713,0.953,4.463,NA,0.005634662,0.06130302,56064.73788,56064.79918,56064.75831,NA
11649990,11,1019.311497,1019.372796,1019.33193,4.76E+34,FALSE,5985,1.026,4.324,1,0.004259233,0.061299022,55852.3115,55852.3728,55852.33193,This work
11649990,3,292.1405227,292.2018215,292.1609555,5.75E+34,FALSE,5985,1.026,4.324,1,0.0062,0.061298856,55125.14052,55125.20182,55125.16096,This work
11649990,11,1085.105702,1085.187434,1085.126135,5.97E+34,FALSE,5985,1.026,4.324,1,0.009167143,0.081732512,55918.1057,55918.18743,55918.12614,This work
