kepler_id,ra,dec,Teff,logg,Radius
8814775,290.27902,45.093658,3348,4.972,0.277
8815598,290.57462,45.06852,3352,4.969,0.28
8815854,290.66177,45.078499,2661,5.283,0.116
8822710,293.3475,45.06657,3678,4.848,0.41
8823360,293.5929,45.08606,3352,4.969,0.28
8823902,293.79895,45.013008,3514,4.888,0.365
8825043,294.2168,45.016266,3368,5.067,0.22
8825565,294.40555,45.000858,3683,4.688,0.563
8827428,295.04312,45.076981,3698,4.81,0.444
8836388,297.77655,45.08461,3497,4.92,0.334
8837812,298.1265,45.052006,3336,5.117,0.189
8838894,298.40543,45.062141,3673,4.863,0.389
8839656,298.61594,45.08728,3436,5.027,0.259
8839947,298.69223,45.025021,3655,4.878,0.379
8845205,300.20609,45.018139,3395,4.97,0.283
8845251,300.22186,45.016045,3458,5.007,0.263
8869922,285.02353,45.118362,3100,5.154,0.161
8872565,286.32248,45.120888,3319,5.137,0.177
8872874,286.4725,45.108521,3688,4.789,0.462
8878564,289.18161,45.159309,3288,5.071,0.21
8881243,290.23813,45.194321,3688,4.841,0.416
8881388,290.29193,45.172184,3089,5.158,0.158
8888573,292.94586,45.104118,3683,4.688,0.563
8889176,293.16464,45.101292,3482,4.904,0.349
8891970,294.12369,45.152321,3310,5.051,0.225
8892000,294.13449,45.11359,3482,4.904,0.349
8909853,299.35461,45.12347,3557,4.868,0.387
8909876,299.36102,45.12542,3504,4.858,0.389
8914727,300.76624,45.101711,3372,5.048,0.228
8933586,283.10544,45.208141,3204,5.184,0.155
8934022,283.30539,45.209702,3368,5.021,0.258
8934468,283.52911,45.28558,3585,4.868,0.388
8935655,284.13925,45.230042,3694,4.686,0.566
8935942,284.27579,45.269489,3204,5.182,0.156
8937178,284.88351,45.20602,3209,5.168,0.161
8939955,286.29172,45.246971,3683,4.688,0.563
8939965,286.29401,45.237221,3419,4.949,0.303
8940022,286.32059,45.273487,3386,4.958,0.313
8940432,286.53232,45.26112,3534,4.84,0.407
8947255,289.76758,45.26363,3504,4.858,0.389
8949316,290.51895,45.235371,3569,4.82,0.427
8957091,293.37549,45.250366,2661,5.283,0.116
8960906,294.58932,45.213669,3635,4.849,0.411
8961672,294.84695,45.25214,3573,4.896,0.372
8962137,294.98599,45.223141,3522,4.848,0.4
8964399,295.67062,45.26527,3447,4.896,0.354
8977910,299.08496,45.201382,3293,5.028,0.235
9002074,283.08624,45.320438,3500,4.897,0.358
9004724,284.45157,45.375191,3208,5.184,0.155
9005449,284.82507,45.319618,3373,4.952,0.296
9005690,284.94595,45.391571,3694,4.925,0.336
9006264,285.25415,45.377464,2703,5.274,0.118
9008142,286.1102,45.312962,3625,4.833,0.427
9009213,286.6308,45.34552,3381,4.945,0.302
9015810,289.53772,45.38134,3637,4.824,0.434
9017693,290.26477,45.388939,3323,4.995,0.258
9019246,290.84247,45.312092,3360,4.961,0.287
9019435,290.90784,45.301701,3489,4.868,0.379
9022001,291.82712,45.378342,3647,4.859,0.398
9024907,292.89609,45.388771,3423,4.913,0.336
9026015,293.29611,45.30159,3537,4.897,0.358
9026334,293.40897,45.380901,3537,4.897,0.358
9028977,294.31235,45.358452,3301,5.018,0.242
9030712,294.88593,45.39954,3563,4.853,0.398
9033543,295.7804,45.302719,2900,5.224,0.132
9041966,297.83926,45.372261,3407,4.923,0.324
9054537,301.1362,45.31731,3651,4.855,0.402
9071037,282.94681,45.446491,3593,4.89,0.366
9076928,286.24875,45.456532,3546,4.867,0.386
9077796,286.73257,45.495869,3323,4.995,0.258
9090909,292.63348,45.46685,3683,4.688,0.563
9092592,293.2366,45.492668,3484,4.872,0.376
9093501,293.54968,45.42836,3522,4.848,0.4
9093763,293.6376,45.459259,3332,4.987,0.265
9094000,293.71967,45.466282,3589,4.887,0.38
9107656,297.69504,45.470039,3682,4.824,0.434
9107723,297.70801,45.471951,3410,4.953,0.298
9111293,298.59848,45.461151,3259,5.107,0.19
9111372,298.62167,45.414021,3456,5.011,0.272
9112164,298.83395,45.418171,3561,4.878,0.374
9113974,299.37885,45.408108,3233,5.093,0.195
9117378,300.30783,45.447491,3165,5.168,0.158
9118518,300.6138,45.47752,3447,4.924,0.326
9118677,300.66089,45.471439,3694,4.86,0.398
9136993,282.88803,45.519321,3642,4.781,0.464
9138406,283.68692,45.575199,3269,5.23,0.143
9138452,283.71716,45.505493,2661,5.283,0.116
9141571,285.46426,45.51141,3401,4.921,0.325
9142641,286.00085,45.580872,3392,5.022,0.255
9142714,286.04276,45.511211,3514,4.907,0.358
9153593,291.40417,45.558289,3219,5.137,0.174
9153754,291.46069,45.539322,3193,5.113,0.183
9159060,293.60425,45.516041,3604,4.942,0.327
9160884,294.24329,45.551048,3683,4.806,0.44
9164055,295.4227,45.530602,3391,4.936,0.311
9166044,296.12408,45.549519,3336,4.983,0.268
9173561,298.24765,45.512821,3514,4.888,0.365
9176383,299.00955,45.503681,3677,4.787,0.459
9178867,299.73941,45.588261,3447,4.896,0.354
9179906,300.01614,45.52792,3368,4.955,0.293
9201463,283.1409,45.642773,3319,5.137,0.177
9202152,283.55582,45.65107,3218,5.124,0.179
9202551,283.79349,45.615749,3369,4.862,0.38
9203794,284.5079,45.617279,3261,5.065,0.211
9204867,285.10483,45.600632,3410,4.953,0.298
9205855,285.64502,45.651459,3388,4.939,0.308
