kepler_id,RA,Dec,Teff,logg,Radius,Prot
2581104,292.58212,37.8773,5562,4.355,0.995,
2581472,292.67035,37.848911,5600,4.449,0.962,
2581628,292.70779,37.891029,5993,4.489,0.986,
2581630,292.70786,37.844357,5780,4.438,1,
2581750,292.73401,37.81871,5794,4.343,1.03,
2581994,292.78635,37.89101,5778,4.531,0.911,
2582330,292.85223,37.849419,5627,4.375,1.023,
2582753,292.93817,37.810841,5907,4.334,1.135,
2582884,292.97043,37.873631,5815,4.321,1.122,
2583576,293.12671,37.820301,5945,4.452,0.93,
2584086,293.23712,37.877571,5907,4.513,0.915,
2584163,293.25412,37.846191,5959,4.46,0.966,
2584224,293.26785,37.827301,5899,4.428,0.977,
2584513,293.32907,37.892151,5551,4.381,0.957,
2584673,293.36557,37.818371,5395,4.4,0.969,
2584676,293.3671,37.88419,5963,4.501,0.935,
2584853,293.40729,37.86615,5798,4.431,0.948,
2584892,293.41742,37.897091,5944,4.492,0.926,
2584953,293.43317,37.84922,5353,4.432,0.904,
2585210,293.48871,37.828636,5780,4.438,1,
2585452,293.5354,37.858608,5837,4.441,0.972,
2585847,293.61783,37.803532,5834,4.36,1.107,
2692060,285.55209,37.996529,5941,4.504,0.936,
2692156,285.58603,37.951279,5970,4.505,0.932,
2692377,285.66165,37.9645,5533,4.337,1.089,
2692672,285.76669,37.938091,5695,4.25,1.139,
2693044,285.89206,37.92728,5911,4.517,0.912,
2693139,285.92078,37.902748,5887,4.288,1.1,
2693215,285.94608,37.98436,5684,4.393,1.069,
2693725,286.11066,37.930969,5750,4.416,0.97,
2693750,286.11945,37.943741,5942,4.342,1.065,
2693758,286.12192,37.930649,5758,4.402,0.902,
2694015,286.20038,37.972691,5908,4.412,0.904,
2694056,286.21228,37.982262,5692,4.433,0.991,
2694114,286.22937,37.937618,5941,4.369,0.992,
2695118,286.52667,37.968079,5679,4.42,1.007,
2695167,286.54575,37.969009,5520,4.418,0.957,
2695204,286.55887,37.98407,5912,4.439,0.957,
2695264,286.5791,37.932652,5912,4.291,1.111,
2695319,286.59467,37.963821,5878,4.404,1.023,
2695444,286.63809,37.91151,5547,4.416,0.903,
2695594,286.68979,37.963409,5933,4.367,1.046,
2695733,286.72729,37.956783,5780,4.438,1,
2695931,286.80011,37.910042,5977,4.318,1.068,
2695999,286.82831,37.919781,5776,4.512,0.95,
2696625,287.03165,37.926971,5470,4.364,1.004,
2696717,287.06161,37.924591,5712,4.425,0.978,
2696719,287.06232,37.934368,5925,4.518,0.91,
2696829,287.09903,37.965431,5900,4.509,0.951,
2696941,287.13351,37.90971,5780,4.438,1,
2697192,287.20923,37.950539,5869,4.491,0.943,
2697299,287.24554,37.954731,5780,4.438,1,
2697847,287.43658,37.99612,5671,4.319,1.099,
2706961,290.01392,37.943779,5456,4.459,0.935,
2707097,290.04553,37.939384,5780,4.438,1,
2707427,290.12527,37.909962,5274,4.409,0.95,
2707683,290.18204,37.968639,5431,4.356,1.048,
2708278,290.31589,37.977779,5285,4.474,0.927,
2708286,290.31827,37.91098,5706,4.255,1.12,
2709224,290.55188,37.989262,5217,4.388,0.993,
2709412,290.5976,37.910042,5780,4.438,1,
2709642,290.65463,37.954689,5843,4.486,0.915,
2709700,290.67114,37.918591,5754,4.514,0.943,
2709773,290.68808,37.906281,5919,4.362,1.016,
2709873,290.70969,37.972752,5945,4.467,0.95,
2710281,290.81174,37.958641,5766,4.431,0.927,
2710461,290.85425,37.922218,5618,4.429,0.94,
2710486,290.86179,37.937618,5997,4.522,0.904,
2710623,290.89783,37.972778,5750,4.337,1.106,
2710650,290.90536,37.901039,5779,4.44,0.97,
2710660,290.90778,37.931721,5916,4.325,1.029,
2710685,290.91211,37.957642,5869,4.437,0.986,
2710900,290.96371,37.91996,5834,4.427,0.903,
2712175,291.25461,37.934052,5667,4.399,1.052,
2712773,291.37805,37.976849,5733,4.531,0.904,
2712835,291.38977,37.965614,5780,4.438,1,
2712862,291.39804,37.913841,5754,4.514,0.943,
2712958,291.4234,37.902012,5908,4.356,1.038,
2713049,291.43997,37.905659,5519,4.35,1.062,
2713180,291.46869,37.928921,5977,4.473,1.022,
2713390,291.51596,37.944111,5926,4.506,0.939,
2713448,291.52866,37.922138,5772,4.528,0.901,
2713789,291.59525,37.945389,5836,4.5,0.97,
2713948,291.63123,37.959869,5919,4.444,0.912,
2713986,291.63956,37.91206,5787,4.493,0.963,
2714250,291.69473,37.908058,5433,4.389,0.963,
2714621,291.78354,37.911812,5955,4.363,1.101,
2714663,291.793,37.974258,5873,4.455,0.953,
2714954,291.86472,37.924252,5808,4.384,1.036,
2715119,291.90198,37.917179,5881,4.487,0.924,
2715164,291.91296,37.93668,5780,4.438,1,
2715194,291.91876,37.909088,5861,4.484,0.915,
2715282,291.94141,37.945789,5957,4.476,1.016,
2715410,291.96756,37.98196,5988,4.507,0.934,
2715632,292.01758,37.959209,5949,4.493,0.962,
2716140,292.12027,37.979118,5780,4.438,1,
2716261,292.14386,37.990898,5763,4.489,0.976,
2716443,292.18076,37.98975,5258,4.435,0.909,
2716801,292.25464,37.97142,5911,4.519,0.914,
2716872,292.27405,37.93932,5641,4.383,1.032,
